age,male_nonsmoker,male_smoker,female_nonsmoker,female_smoker
30,2.506,3.985,3.985,5.830
40,4.620,5.500,4.818,8.543
50,10.010,12.430,11.832,18.329
60,19.435,31.625,18.450,27.074
70,49.105,80.155,33.125,53.064
80,131.330,217.925,107.092,170.233
90,317.285,469.890,324.319,474.528
